avg_pd_today,el_total_today,max_psi_today,trailing_avg_pd,trailing_avg_el,trailing_mean_psi,trailing_max_psi,delta_el_vs_7d,delta_pd_vs_7d,date,system
0.6716079552620839,220996.9111272808,0.0,0.6784458746497789,223679.21552084704,1.6578586238579462,13.815488532149551,-2682.30439356633,-0.0068379193876949,2025-10-17,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,1.6578586238579462,13.815488532149551,0.0,0.0,2025-10-18,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,-2.9103830456733704e-11,0.0,2025-10-22,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-10-23,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-10-24,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-10-25,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-10-26,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-10-28,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-10-30,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-11-01,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,-2.9103830456733704e-11,0.0,2025-11-04,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,-2.9103830456733704e-11,0.0,2025-11-05,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-11-06,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-11-07,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-11-08,credit
0.6716079552620839,220996.9111272808,0.0,0.6716079552620839,220996.9111272808,0.0,0.0,0.0,0.0,2025-11-09,credit
0.3776060889164607,239674.0996766836,9.210307267540427,0.6716079552620839,220996.9111272808,0.0,0.0,18677.18854940284,-0.2940018663456232,2025-11-13,credit
0.3776060889164607,239674.0996766836,0.0,0.5981074886756781,225666.20826463145,0.578934231236002,9.210307267540427,14007.891412052122,-0.2205013997592174,2025-11-14,credit
0.3776060889164607,239674.09967668357,0.0,0.5246070220892723,230335.50540198217,0.578934231236002,9.210307267540427,9338.594274701405,-0.14700093317281165,2025-11-15,credit
